fid,Riproietta
"400",0.82705
"401",0.80992
"402",0.72502
"403",0.7175
"404",0.77826
"405",0.81502
"406",0.86365
"407",0.7866
"408",0.80822
"409",0.84052
"410",0.79024
"411",0.80233
"412",0.65737
"413",0.75888
"414",0.77556
"415",0.78833
"416",0.75554
"417",0.74002
"418",0.75364
"419",0.81732
"420",0.80219
"421",0.7952
"422",0.8206
"423",0.70669
"424",0.75785
"425",0.71191
"426",0.78367
"427",0.87031
"428",0.79161
"429",0.76439
"430",0.75436
"431",0.8332
"432",0.78613
"433",0.77503
"434",0.72966
"435",0.81081
"436",0.71676
"437",0.56445
"438",0.77904
"439",0.85151
"440",0.8166
"441",0.77423
"442",0.80306
"443",0.81176
"444",0.787
"445",0.84324
"446",0.84121
"447",0.84389
"448",0.73112
"449",0.72947
"450",0.75758
"451",0.72523
"452",0.74932
"453",0.78015
"454",0.82212
"455",0.72914
"456",0.78035
"457",0.75835
"458",0.72062
"459",0.74047
"460",0.7468
"461",0.79853
"462",0.76034
"463",0.584
"464",0.66532
"465",0.77798
"466",0.74681
"467",0.80747
"468",0.81748
"469",0.81016
"470",0.78966
"471",0.80234
"472",0.81075
"473",0.81563
"474",0.77197
"475",0.79046
"476",0.78451
"477",0.72165
"478",0.70882
"479",0.74985
"480",0.74213
"481",0.73669
"482",0.74494
"483",0.78089
"484",0.81517
"485",0.75411
"486",0.78947
"487",0.76119
"488",0.75429
"489",0.70895
"490",0.67634
"491",0.70473
"492",0.73307
"493",0.80789
"494",0.80968
"495",0.73566
"496",0.75712
"497",0.86857
"498",0.81316
"499",0.83002
"500",0.8296
"501",0.73741
"502",0.75258
"503",0.78824
"504",0.81981
"505",0.80873
"506",0.76215
"507",0.74544
"508",0.72719
"509",0.74143
"510",0.72643
"511",0.7667
"512",0.80072
"513",0.8015
"514",0.76152
"515",0.77499
"516",0.79047
"517",0.7768
"518",0.74638
"519",0.75935
"520",0.75871
"521",0.69396
"522",0.72317
"523",0.74128
"524",0.73717
"525",0.71853
"526",0.71127
"527",0.74085
"528",0.78469
"529",0.84041
"530",0.8218
"531",0.88752
"532",0.76598
"533",0.79584
"534",0.7884
"535",0.74955
"536",0.76061
"537",0.7975
"538",0.81698
"539",0.80912
"540",0.85779
"541",0.85722
"542",0.78102
"543",0.81492
"544",0.74428
"545",0.73671
"546",0.72462
"547",0.73085
"548",0.74068
"549",0.76496
"550",0.77947
"551",0.79449
"552",0.77126
"553",0.71665
"554",0.77018
"555",0.69961
"556",0.78255
"557",0.71896
"558",0.75954
"559",0.81308
"560",0.84359
"561",0.83639
"562",0.85531
"563",0.865
"564",0.70556
"565",0.80412
"566",0.77518
"567",0.70224
"568",0.74022
"569",0.81506
"570",0.78014
"571",0.80807
"572",0.81296
"573",0.79498
"574",0.81077
"575",0.80385
"576",0.83739
"577",0.8678
"578",0.8509
"579",0.82316
"580",0.80148
"581",0.811
"582",0.80813
"583",0.72889
"584",0.73517
"585",0.74029
"586",0.7805
"587",0.74924
"588",0.7681
"589",0.74227
"590",0.82125
"591",0.78251
"592",0.76017
"593",0.76709
"594",0.77184
"595",0.69463
"596",0.75581
"597",0.72348
"598",0.77056
"599",0.82148
"600",0.75634
"601",0.80519
"602",0.81623
"603",0.81663
"604",0.80649
"605",0.78362
"606",0.78432
"607",0.76038
"608",0.80254
"609",0.74379
"610",0.75512
"611",0.72207
"612",0.7299
"613",0.68989
"614",0.73979
"615",0.76447
"616",0.82931
